x1,x2,y
0,0,0
0,1,-2
0,2,-4
0,3,-6
0,4,-8
0,5,-10
0,6,-12
0,7,-14
0,8,-16
0,9,-18
0,10,-20
0,11,-22
0,12,-24
0,13,-26
0,14,-28
0,15,-30
0,16,-32
0,17,-34
0,18,-36
0,19,-38
0,20,-40
0,21,-42
0,22,-44
0,23,-46
0,24,-48
0,25,-50
0,26,-52
0,27,-54
0,28,-56
0,29,-58
0,30,-60
0,31,-62
0,32,-64
0,33,-66
0,34,-68
0,35,-70
0,36,-72
0,37,-74
0,38,-76
0,39,-78
0,40,-80
0,41,-82
0,42,-84
0,43,-86
0,44,-88
0,45,-90
0,46,-92
0,47,-94
0,48,-96
0,49,-98
0,50,-100
0,51,-102
0,52,-104
0,53,-106
0,54,-108
0,55,-110
0,56,-112
0,57,-114
0,58,-116
0,59,-118
0,60,-120
0,61,-122
0,62,-124
0,63,-126
0,64,-128
0,65,-130
0,66,-132
0,67,-134
0,68,-136
0,69,-138
0,70,-140
0,71,-142
0,72,-144
0,73,-146
0,74,-148
0,75,-150
0,76,-152
0,77,-154
0,78,-156
0,79,-158
0,80,-160
0,81,-162
0,82,-164
0,83,-166
0,84,-168
0,85,-170
0,86,-172
0,87,-174
0,88,-176
0,89,-178
0,90,-180
0,91,-182
0,92,-184
0,93,-186
0,94,-188
0,95,-190
0,96,-192
0,97,-194
0,98,-196
0,99,-198
1,0,3
1,1,1
1,2,-1
1,3,-3
1,4,-5
1,5,-7
1,6,-9
1,7,-11
1,8,-13
1,9,-15
1,10,-17
1,11,-19
1,12,-21
1,13,-23
1,14,-25
1,15,-27
1,16,-29
1,17,-31
1,18,-33
1,19,-35
1,20,-37
1,21,-39
1,22,-41
1,23,-43
1,24,-45
1,25,-47
1,26,-49
1,27,-51
1,28,-53
1,29,-55
1,30,-57
1,31,-59
1,32,-61
1,33,-63
1,34,-65
1,35,-67
1,36,-69
1,37,-71
1,38,-73
1,39,-75
1,40,-77
1,41,-79
1,42,-81
1,43,-83
1,44,-85
1,45,-87
1,46,-89
1,47,-91
1,48,-93
1,49,-95
1,50,-97
1,51,-99
1,52,-101
1,53,-103
1,54,-105
1,55,-107
1,56,-109
1,57,-111
1,58,-113
1,59,-115
1,60,-117
1,61,-119
1,62,-121
1,63,-123
1,64,-125
1,65,-127
1,66,-129
1,67,-131
1,68,-133
1,69,-135
1,70,-137
1,71,-139
1,72,-141
1,73,-143
1,74,-145
1,75,-147
1,76,-149
1,77,-151
1,78,-153
1,79,-155
1,80,-157
1,81,-159
1,82,-161
1,83,-163
1,84,-165
1,85,-167
1,86,-169
1,87,-171
1,88,-173
1,89,-175
1,90,-177
1,91,-179
1,92,-181
1,93,-183
1,94,-185
1,95,-187
1,96,-189
1,97,-191
1,98,-193
1,99,-195
2,0,6
2,1,4
2,2,2
2,3,0
2,4,-2
2,5,-4
2,6,-6
2,7,-8
2,8,-10
2,9,-12
2,10,-14
2,11,-16
2,12,-18
2,13,-20
2,14,-22
2,15,-24
2,16,-26
2,17,-28
2,18,-30
2,19,-32
2,20,-34
2,21,-36
2,22,-38
2,23,-40
2,24,-42
2,25,-44
2,26,-46
2,27,-48
2,28,-50
2,29,-52
2,30,-54
2,31,-56
2,32,-58
2,33,-60
2,34,-62
2,35,-64
2,36,-66
2,37,-68
2,38,-70
2,39,-72
2,40,-74
2,41,-76
2,42,-78
2,43,-80
2,44,-82
2,45,-84
2,46,-86
2,47,-88
2,48,-90
2,49,-92
2,50,-94
2,51,-96
2,52,-98
2,53,-100
2,54,-102
2,55,-104
2,56,-106
2,57,-108
2,58,-110
2,59,-112
2,60,-114
2,61,-116
2,62,-118
2,63,-120
2,64,-122
2,65,-124
2,66,-126
2,67,-128
2,68,-130
2,69,-132
2,70,-134
2,71,-136
2,72,-138
2,73,-140
2,74,-142
2,75,-144
2,76,-146
2,77,-148
2,78,-150
2,79,-152
2,80,-154
2,81,-156
2,82,-158
2,83,-160
2,84,-162
2,85,-164
2,86,-166
2,87,-168
2,88,-170
2,89,-172
2,90,-174
2,91,-176
2,92,-178
2,93,-180
2,94,-182
2,95,-184
2,96,-186
2,97,-188
2,98,-190
2,99,-192
3,0,9
3,1,7
3,2,5
3,3,3
3,4,1
3,5,-1
3,6,-3
3,7,-5
3,8,-7
3,9,-9
3,10,-11
3,11,-13
3,12,-15
3,13,-17
3,14,-19
3,15,-21
3,16,-23
3,17,-25
3,18,-27
3,19,-29
3,20,-31
3,21,-33
3,22,-35
3,23,-37
3,24,-39
3,25,-41
3,26,-43
3,27,-45
3,28,-47
3,29,-49
3,30,-51
3,31,-53
3,32,-55
3,33,-57
3,34,-59
3,35,-61
3,36,-63
3,37,-65
3,38,-67
3,39,-69
3,40,-71
3,41,-73
3,42,-75
3,43,-77
3,44,-79
3,45,-81
3,46,-83
3,47,-85
3,48,-87
3,49,-89
3,50,-91
3,51,-93
3,52,-95
3,53,-97
3,54,-99
3,55,-101
3,56,-103
3,57,-105
3,58,-107
3,59,-109
3,60,-111
3,61,-113
3,62,-115
3,63,-117
3,64,-119
3,65,-121
3,66,-123
3,67,-125
3,68,-127
3,69,-129
3,70,-131
3,71,-133
3,72,-135
3,73,-137
3,74,-139
3,75,-141
3,76,-143
3,77,-145
3,78,-147
3,79,-149
3,80,-151
3,81,-153
3,82,-155
3,83,-157
3,84,-159
3,85,-161
3,86,-163
3,87,-165
3,88,-167
3,89,-169
3,90,-171
3,91,-173
3,92,-175
3,93,-177
3,94,-179
3,95,-181
3,96,-183
3,97,-185
3,98,-187
3,99,-189
4,0,12
4,1,10
4,2,8
4,3,6
4,4,4
4,5,2
4,6,0
4,7,-2
4,8,-4
4,9,-6
4,10,-8
4,11,-10
4,12,-12
4,13,-14
4,14,-16
4,15,-18
4,16,-20
4,17,-22
4,18,-24
4,19,-26
4,20,-28
4,21,-30
4,22,-32
4,23,-34
4,24,-36
4,25,-38
4,26,-40
4,27,-42
4,28,-44
4,29,-46
4,30,-48
4,31,-50
4,32,-52
4,33,-54
4,34,-56
4,35,-58
4,36,-60
4,37,-62
4,38,-64
4,39,-66
4,40,-68
4,41,-70
4,42,-72
4,43,-74
4,44,-76
4,45,-78
4,46,-80
4,47,-82
4,48,-84
4,49,-86
4,50,-88
4,51,-90
4,52,-92
4,53,-94
4,54,-96
4,55,-98
4,56,-100
4,57,-102
4,58,-104
4,59,-106
4,60,-108
4,61,-110
4,62,-112
4,63,-114
4,64,-116
4,65,-118
4,66,-120
4,67,-122
4,68,-124
4,69,-126
4,70,-128
4,71,-130
4,72,-132
4,73,-134
4,74,-136
4,75,-138
4,76,-140
4,77,-142
4,78,-144
4,79,-146
4,80,-148
4,81,-150
4,82,-152
4,83,-154
4,84,-156
4,85,-158
4,86,-160
4,87,-162
4,88,-164
4,89,-166
4,90,-168
4,91,-170
4,92,-172
4,93,-174
4,94,-176
4,95,-178
4,96,-180
4,97,-182
4,98,-184
4,99,-186
5,0,15
5,1,13
5,2,11
5,3,9
5,4,7
5,5,5
5,6,3
5,7,1
5,8,-1
5,9,-3
5,10,-5
5,11,-7
5,12,-9
5,13,-11
5,14,-13
5,15,-15
5,16,-17
5,17,-19
5,18,-21
5,19,-23
5,20,-25
5,21,-27
5,22,-29
5,23,-31
5,24,-33
5,25,-35
5,26,-37
5,27,-39
5,28,-41
5,29,-43
5,30,-45
5,31,-47
5,32,-49
5,33,-51
5,34,-53
5,35,-55
5,36,-57
5,37,-59
5,38,-61
5,39,-63
5,40,-65
5,41,-67
5,42,-69
5,43,-71
5,44,-73
5,45,-75
5,46,-77
5,47,-79
5,48,-81
5,49,-83
5,50,-85
5,51,-87
5,52,-89
5,53,-91
5,54,-93
5,55,-95
5,56,-97
5,57,-99
5,58,-101
5,59,-103
5,60,-105
5,61,-107
5,62,-109
5,63,-111
5,64,-113
5,65,-115
5,66,-117
5,67,-119
5,68,-121
5,69,-123
5,70,-125
5,71,-127
5,72,-129
5,73,-131
5,74,-133
5,75,-135
5,76,-137
5,77,-139
5,78,-141
5,79,-143
5,80,-145
5,81,-147
5,82,-149
5,83,-151
5,84,-153
5,85,-155
5,86,-157
5,87,-159
5,88,-161
5,89,-163
5,90,-165
5,91,-167
5,92,-169
5,93,-171
5,94,-173
5,95,-175
5,96,-177
5,97,-179
5,98,-181
5,99,-183
6,0,18
6,1,16
6,2,14
6,3,12
6,4,10
6,5,8
6,6,6
6,7,4
6,8,2
6,9,0
6,10,-2
6,11,-4
6,12,-6
6,13,-8
6,14,-10
6,15,-12
6,16,-14
6,17,-16
6,18,-18
6,19,-20
6,20,-22
6,21,-24
6,22,-26
6,23,-28
6,24,-30
6,25,-32
6,26,-34
6,27,-36
6,28,-38
6,29,-40
6,30,-42
6,31,-44
6,32,-46
6,33,-48
6,34,-50
6,35,-52
6,36,-54
6,37,-56
6,38,-58
6,39,-60
6,40,-62
6,41,-64
6,42,-66
6,43,-68
6,44,-70
