R,G,B,y
160,16,7,1
21,20,25,0
0,0,0,0
251,251,251,0
192,30,19,1
137,17,3,1
20,19,24,0
0,0,0,0
251,251,251,0
181,27,15,1
111,13,0,1
16,17,22,0
0,0,0,0
251,251,251,0
171,23,9,1
86,10,0,1
16,17,22,0
0,0,0,0
251,251,251,0
160,18,4,1
66,6,0,1
17,18,23,0
0,0,0,0
251,251,251,0
53,4,0,1
15,16,21,0
0,0,0,0
251,251,251,0
153,17,3,1
48,4,3,1
17,18,23,0
0,0,0,0
251,251,251,0
153,17,5,1
46,4,5,1
16,17,22,0
0,0,0,0
251,251,251,0
154,16,5,1
47,7,8,1
16,17,22,0
0,0,0,0
251,251,251,0
157,16,6,1
47,7,7,1
17,18,23,0
0,0,0,0
251,251,251,0
47,6,2,1
16,16,24,0
0,0,0,0
251,251,251,0
171,20,11,1
53,4,0,1
14,14,22,0
0,0,0,0
251,251,251,0
178,21,12,1
67,4,0,1
13,13,21,0
0,0,0,0
250,250,250,0
186,22,12,1
86,8,0,1
13,13,21,0
0,0,0,0
250,250,250,0
199,22,12,1
116,20,8,1
12,12,22,0
0,0,0,0
250,250,250,0
152,28,20,1
10,13,22,0
0,0,0,0
250,250,250,0
220,19,12,1
188,29,25,1
9,13,22,0
0,0,0,0
250,250,250,0
224,17,11,1
206,27,22,1
7,18,24,0
0,0,0,0
251,251,251,0
226,17,12,1
213,26,19,1
6,23,30,0
0,0,0,0
251,251,251,0
227,18,11,1
217,23,14,1
7,31,35,0
0,0,0,0
251,251,251,0
223,22,14,1
9,36,43,0
0,0,0,0
252,250,251,0
231,22,15,1
227,20,14,1
5,43,46,0
0,0,0,0
252,250,251,0
232,23,16,1
232,18,16,1
27,78,81,0
0,0,0,0
252,250,251,0
234,25,18,1
235,19,20,1
37,93,94,0
0,0,0,0
251,249,250,0
238,27,20,1
234,18,19,1
39,84,89,0
0,0,0,0
251,249,250,0
234,18,19,1
19,54,60,0
0,0,0,0
250,248,249,0
238,25,19,1
234,19,16,1
13,35,46,0
0,0,0,0
250,248,249,0
237,22,17,1
234,19,14,1
7,20,29,0
0,0,0,0
250,248,249,0
237,20,15,1
233,19,11,1
11,13,26,0
1,1,1,0
250,248,249,0
235,18,13,1
232,18,10,1
17,17,29,0
1,1,1,0
250,248,249,0
232,17,12,1
14,18,30,0
1,1,1,0
250,248,249,0
233,14,10,1
228,21,15,1
14,22,33,0
1,1,1,0
250,248,249,0
234,12,9,1
210,22,13,1
21,30,39,0
1,1,1,0
249,247,248,0
233,11,8,1
226,44,33,1
28,32,43,0
1,1,1,0
249,247,248,0
236,12,10,1
236,49,40,1
38,30,45,0
1,1,1,0
249,247,248,0
228,34,25,1
43,15,37,0
1,1,1,0
249,247,248,0
235,11,9,1
224,23,15,1
63,6,38,0
1,1,1,0
248,248,248,0
235,11,9,1
229,20,15,1
92,6,45,0
1,1,1,0
248,248,248,0
235,11,9,1
233,18,15,1
134,13,64,0
1,1,1,0
247,247,247,0
235,11,9,1
233,14,12,1
161,16,73,0
1,1,1,0
247,247,247,0
238,16,15,1
189,20,85,0
1,1,1,0
247,247,247,0
235,11,9,1
236,14,13,1
200,19,88,0
1,1,1,0
246,246,246,0
232,10,7,1
234,16,15,1
205,15,87,0
1,1,1,0
246,246,246,0
232,10,7,1
231,17,15,1
208,12,86,0
1,1,1,0
246,246,246,0
232,10,7,1
227,17,16,1
210,13,85,0
1,1,1,0
246,246,246,0
225,20,17,1
213,13,86,0
1,1,1,0
246,246,246,0
231,14,9,1
222,20,18,1
213,10,89,0
1,1,1,0
246,246,246,0
232,15,10,1
215,19,21,1
213,10,89,0
1,1,1,0
246,246,246,0
230,15,10,1
207,20,29,1
213,10,89,0
1,1,1,0
246,246,246,0
231,17,9,1
203,26,42,1
213,10,89,0
1,1,1,0
245,245,245,0
170,15,10,1
20,19,24,0
0,0,0,0
251,251,251,0
231,19,8,1
150,16,7,1
18,19,23,0
0,0,0,0
251,251,251,0
235,17,8,1
126,14,3,1
15,16,21,0
0,0,0,0
251,251,251,0
238,15,8,1
100,10,1,1
15,16,21,0
0,0,0,0
251,251,251,0
239,14,10,1
77,7,0,1
16,17,22,0
0,0,0,0
251,251,251,0
62,5,0,1
15,16,21,0
0,0,0,0
251,251,251,0
235,16,10,1
53,3,2,1
16,17,22,0
0,0,0,0
251,251,251,0
230,15,10,1
49,5,6,1
16,17,22,0
0,0,0,0
251,251,251,0
228,15,9,1
50,8,10,1
16,17,22,0
0,0,0,0
251,251,251,0
227,14,8,1
48,6,7,1
16,17,22,0
0,0,0,0
251,251,251,0
49,5,2,1
16,16,24,0
0,0,0,0
251,251,251,0
229,10,8,1
55,6,1,1
15,15,23,0
0,0,0,0
251,251,251,0
230,6,6,1
63,4,0,1
14,14,22,0
0,0,0,0
250,250,250,0
231,5,6,1
77,4,0,1
14,14,22,0
0,0,0,0
250,250,250,0
231,7,8,1
101,14,5,1
14,14,24,0
0,0,0,0
250,250,250,0
137,24,18,1
13,13,23,0
0,0,0,0
250,250,250,0
234,8,9,1
177,28,24,1
10,14,23,0
0,0,0,0
251,251,251,0
236,8,9,1
199,27,23,1
8,17,24,0
0,0,0,0
251,251,251,0
236,8,9,1
208,27,18,1
8,23,30,0
0,0,0,0
251,251,251,0
235,7,8,1
215,24,14,1
8,29,34,0
0,0,0,0
251,251,251,0
221,23,12,1
7,34,41,0
0,0,0,0
252,250,251,0
234,5,8,1
228,21,13,1
3,41,44,0
0,0,0,0
252,250,251,0
231,7,8,1
231,19,16,1
32,86,86,0
0,0,0,0
252,250,251,0
227,9,8,1
234,20,20,1
41,99,100,0
0,0,0,0
251,249,250,0
224,12,9,1
233,19,19,1
41,90,94,0
0,0,0,0
251,249,250,0
233,19,19,1
27,64,70,0
0,0,0,0
250,248,249,0
216,19,11,1
233,20,16,1
14,39,46,0
0,0,0,0
250,248,249,0
213,23,11,1
233,20,14,1
8,21,30,0
0,0,0,0
250,248,249,0
211,25,12,1
233,20,12,1
9,11,23,0
1,1,1,0
250,248,249,0
208,27,10,1
